"","artist"
"1","Trip Lee"
"2","Travis Scott"
"3","Kendrick Lamar"
"4","Post Malone"
"5","Russ"
"6","Various Artists"
"7","Young Thug"
"8","Kevin Gates"
"9","Yo Gotti"
"10","Drake"
"11","DJ Khaled"
"12","Social Club Misfits"
"13","Lil Peep"
"14","Vince Staples"
"15","Twiztid"
"16","Big Sean"
"17","2Pac"
"18","Nick Grant"
"19","Pitbull"
"20","Eminem"
"22","YFN Lucci"
"23","Young Dolph"
"24","Gucci Mane"
"25","XXXTENTACION"
"26"," m.A.A.d city"
"27",""
"28","Playboi Carti"
"29","NF"
"30","21 Savage"
"33","B.o.B"
"34","Ty Dolla $ign"
"35","Big K.R.I.T."
"36","Jeezy"
"37","Lil Pump"
"38","Future"
"39","G-Eazy x Carnage"
"40","Cyhi The Prynce"
"43","PnB Rock"
"44","Tyler"
"46","Meek Mill"
"47","Lil Uzi Vert"
"48","Chance The Rapper"
"49","Pink Guy"
"50","Dave East"
"51","G-Eazy"
"52","Vic Mensa"
"53","Wale"
"54","Logic"
"56","Rittz"
"57","Rae Sremmurd"
"58","Soundtrack"
"59"," Fly Later"
"61","The Lacs"
"62","Tee Grizzley"
"64","Original Broadway Cast Recording"
"65","Kodak Black"
"69","6LACK"
"70","Jefe"
"71","YoungBoy Never Broke Again"
"72","J. Cole"
"73","2 Chainz"
"75","NAV And Metro Boomin"
"76","French Montana"
"77","Phora"
"81","MO3"
"82","A Boogie Wit da Hoodie"
"84","Snoop Dogg"
"85","Flatbush Zombies"
"89","NAV"
"90","JAY-Z"
"91","Big Boi"
"92","Joey Bada$$"
"94"," Pain & Demon Slayin'"
"96","Jidenna"
"97","Jaden Smith"
"98","Kanye West"
"100","Moneybagg Yo"
"103","Run The Jewels"
"104","D.R.A.M."
"106","mansionz"
"107","Migos"
"108","Macklemore"
"110","Tech N9ne"
"111","Colt Ford"
"112","Smokepurpp"
"113","Mac Miller"
"114","Rick Ross"
"115","Lupe Fiasco"
"116","Action Bronson"
"117","Berner"
"118","G Herbo"
"120","The Lox"
"121","Ugly God"
"122","YelaWolf"
"123","Machine Gun Kelly"
"124","Wu-Tang"
"126"," Vol. 2: Too Cozy"
"128","Trippie Redd"
"129","Mike WiLL Made-It"
"130","Amine"
"133","Lil Yachty"
"134","Lecrae"
"136","Upchurch"
"137","A$AP Ferg"
"138","A Tribe Called Quest"
"139","Hopsin"
"147","Denzel Curry"
"159","Blac Youngsta"
"164","Anderson .Paak"
"165"," Jack Huncho"
"168","$uicideBoy$"
"172","T.I."
"173","Cardi B"
"176","Bas"
"177","Rich Homie Quan"
"180","Nipsey Hussle"
"182","KYLE"
"186","Mozzy"
"189","Lil Wayne"
"190"," Music From And Inspired By"
"192","Ski Mask The Slump God"
"196"," Vol. 1"
"208","TakeOff"
"209","Lil Durk"
"211","Tory Lanez"
"212","PRhyme"
"214","Shy Glizzy"
