"","album","source","target"
"1","The Waiting Room","Dimitri McDowell","India Shawn"
"2","The Waiting Room","Dimitri McDowell","Taylor Hill"
"3","The Waiting Room","India Shawn","Taylor Hill"
"4","Birds In The Trap Sing McKnight","Travis Scott","Young Thug &amp; Travis Scott"
"5","DAMN.","Rihanna","U2"
"6","DAMN.","Rihanna","Zacari"
"7","DAMN.","U2","Zacari"
"8","Stoney","2 Chainz","Justin Bieber"
"9","Stoney","2 Chainz","Kehlani"
"10","Stoney","Justin Bieber","Kehlani"
"11","BEAUTIFUL THUGGER GIRLS","Future","Gunna"
"12","BEAUTIFUL THUGGER GIRLS","Future","Jacquees"
"13","BEAUTIFUL THUGGER GIRLS","Gunna","Jacquees"
"14","White Friday (CM9)","2 Chainz","Atia ""INK"" Boggs"
"15","White Friday (CM9)","2 Chainz","Big Sean"
"16","White Friday (CM9)","Atia ""INK"" Boggs","Big Sean"
"17","More Life","2 Chainz","Black Coffee"
"18","More Life","2 Chainz","Giggs"
"19","More Life","Black Coffee","Giggs"
"20","Major Key","2 Chainz","August Alsina"
"21","Major Key","2 Chainz","Betty Wright"
"22","Major Key","August Alsina","Betty Wright"
"23","The Misadventures Of Fern & Marty","Aha Gazelle","Andy Mineo"
"24","The Misadventures Of Fern & Marty","Aha Gazelle","Chris Batson"
"25","The Misadventures Of Fern & Marty","Andy Mineo","Chris Batson"
"26","Big Fish Theory","A$AP Rocky","Damon Albarn"
"27","Big Fish Theory","A$AP Rocky","Juicy J"
"28","Big Fish Theory","Damon Albarn","Juicy J"
"29","Twiztid Presents: Year of the Sword","Axe Murder Boyz","Gorilla Voltage"
"30","Twiztid Presents: Year of the Sword","Axe Murder Boyz","House Of Krazees"
"31","Twiztid Presents: Year of the Sword","Gorilla Voltage","House Of Krazees"
"32","I Decided.","Eminem","Flint Chozen Choir"
"33","I Decided.","Eminem","Jeremih"
"34","I Decided.","Flint Chozen Choir","Jeremih"
"35","All Eyez On Me","Big Syke","B-Legit"
"36","All Eyez On Me","Big Syke","C-Bo"
"37","All Eyez On Me","B-Legit","C-Bo"
"38","Return Of The Cool","B. Hess","BJ the Chicago Kid"
"39","Return Of The Cool","B. Hess","Dominic Gordon"
"40","Return Of The Cool","BJ the Chicago Kid","Dominic Gordon"
"41","Climate Change","Ape Drums","Austin Mahone"
"42","Climate Change","Ape Drums","Enrique Iglesias"
"43","Climate Change","Austin Mahone","Enrique Iglesias"
"44","The Eminem Show","D12","Dina Rae"
"45","The Eminem Show","D12","Dr.\xa0Dre"
"46","The Eminem Show","Dina Rae","Dr.\xa0Dre"
"47","Grateful","Asahd Tuck Khaled","Belly"
"48","Grateful","Asahd Tuck Khaled","Betty Wright"
"49","Grateful","Belly","Betty Wright"
"50","Long Live Nut","Bigga Rankin","Boosie Badazz"
"51","Long Live Nut","Bigga Rankin","Dreezy"
"52","Long Live Nut","Boosie Badazz","Dreezy"
"53","Thinking Out Loud","2 Chainz","DRAM"
"54","Thinking Out Loud","2 Chainz","Gucci Mane"
"55","Thinking Out Loud","DRAM","Gucci Mane"
"56","The Return Of East Atlanta Santa","Bryson Tiller","Drake"
"57","The Return Of East Atlanta Santa","Bryson Tiller","Travis Scott"
"58","The Return Of East Atlanta Santa","Drake","Travis Scott"
"59","Revenge","Ski Mask The Slump God &amp; XXXTENTACION","XXXTENTACION"
"60","Playboi Carti","A$AP Rocky","Leven Kali"
"61","Playboi Carti","A$AP Rocky","Lil Uzi Vert"
"62","Playboi Carti","Leven Kali","Lil Uzi Vert"
"63","Issa Album","21 Savage","CuBeatz"
"64","Issa Album","21 Savage","DJ Mustard"
