"","source","target","weight","type"
"1","Tyler, The Creator","Playboi Carti","1","undirected"
"2","Quavo","T.I.","1","undirected"
"3","Grandmaster Caz","Kool Moe Dee","1","undirected"
"4","Domo Genesis","Tyler, The Creator","1","undirected"
"5","DJ Mustard","Jeezy","1","undirected"
"6","Lyquin","Skeme","1","undirected"
"7","The Lacs","Bubba Sparxxx","1","undirected"
"8","Lil Uzi Vert","Offset","1","undirected"
"9","Tech N9ne Collabos","Stevie Stone","4","undirected"
"10","Too $hort","Erk Tha Jerk","1","undirected"
"11","Malik","Baby Bash","1","undirected"
"12","Bun B","Apathy","1","undirected"
"13","Devin The Dude","Rittz","1","undirected"
"14","Randy Nota Loca","DJ Luian","2","undirected"
"15","Kyla","WizKid","1","undirected"
"16","Ty Dolla $ign","Kanye West","1","undirected"
"17","Lil Uzi Vert","A$AP Mob","1","undirected"
"18","Ariana DeBose","Ephraim Sykes","1","undirected"
"19","Cam'Ron","Pete Rock","1","undirected"
"20","Okieriete Onaodowan","Lin-Manuel Miranda","10","undirected"
"21","C-Murder","2Meka","1","undirected"
"22","Grieves","Daveed Diggs","1","undirected"
"23","Johnny Cinco","Philthy Rich","1","undirected"
"24","The Game","Skeme","1","undirected"
"25","Twista","Bun B","1","undirected"
"26","Suga Free","Snoop Dogg","1","undirected"
"27","Da$H","Kendra Foster","1","undirected"
"28","Riff Raff","Lil Durk","1","undirected"
"29","Gucci Mane","Peewee Longway","1","undirected"
"30","Pharrell Williams","Skepta","1","undirected"
"31","Devin The Dude","Berner","1","undirected"
"32","Trae Tha Truth","Young Thug","1","undirected"
"33","Jadakiss","Nipsey Hussle","1","undirected"
"34","Boosie Badazz","Young Dolph","1","undirected"
"35","Jadakiss","Wiz Khalifa","1","undirected"
"36","Future","M.I.A.","1","undirected"
"37","Brookfield Duece","Marsha Ambrosius","1","undirected"
"38","Lil Wayne","2 Chainz","8","undirected"
"39","Ying Yang Twins","Pouya","1","undirected"
"40","DJ Khaled","Chris Brown","1","undirected"
"41","Xavier Omär","Noname","1","undirected"
"42","The Lonely Island","Emma Stone","1","undirected"
"43","D.R.A.M.","Young Thug","1","undirected"
"44","Rittz","MJG","1","undirected"
"45","Anthony Ramos","Daveed Diggs","5","undirected"
"46","Dream Junkies","Murs","1","undirected"
"47","Too $hort","King Lil G","1","undirected"
"48","OT Genesis","Jeezy","1","undirected"
"49","YG","Quavo","1","undirected"
"50","The Weeknd","Future","1","undirected"
"51","Jadakiss","Smoke Dza","1","undirected"
"52","French Montana","Meek Mill","1","undirected"
"53","Tech N9ne","Rittz","2","undirected"
"54","Trae Tha Truth","Ty Dolla $ign","1","undirected"
"55","Lyquin","Chris Brown","1","undirected"
"56","Redneck Souljers","J Rosevelt","1","undirected"
"57","Original Broadway Cast of Hamilton","Ariana DeBose","1","undirected"
"58","Ty Dolla $ign","Kevin Gates","1","undirected"
"59","Migos","A$AP Ferg","1","undirected"
"60","Justin Bieber","Young Thug","1","undirected"
"61","Datin","Beleaf","1","undirected"
"62","LA Gun Smoke","King Lil G","2","undirected"
"63","Dr. Ravi Zacharias","Natalie Sims","1","undirected"
"64","Tech N9ne","Big Scoob","1","undirected"
"65","Joe Fox","Kanye West","1","undirected"
"66","Apollo Brown","Joell Ortiz","1","undirected"
"67","Ty Dolla $ign","Trey Songz","4","undirected"
"68","Jeremih","Future","1","undirected"
"69","Lil Dicky","Jace","1","undirected"
"70","Young Life","DJ Drama","1","undirected"
"71","Lin-Manuel Miranda","Daveed Diggs","10","undirected"
"72","Fashawn","Mistah F.A.B.","1","undirected"
"73","C-Murder","Yella","1","undirected"
"74","Ariana Grande","Mac Miller","2","undirected"
"75","JL B.Hood","Tech N9ne Collabos","1","undirected"
"76","Vinnie Paz","O.C.","1","undirected"
"77","OG Boobie Black","Kevin Gates","1","undirected"
"78","Tech N9ne","Stige","1","undirected"
"79","Mos Def","DJ Shadow","1","undirected"
"80","Lil Wayne","YG","1","undirected"
"81","Wrekonize","Ag Lyonz","1","undirected"
"82","Jackie Hill Perry","JGivens","1","undirected"
"83","Mac Miller","Anderson .Paak","2","undirected"
"84","Ty Dolla $ign","PJ","1","undirected"
"85","Domo Genesis","Mac Miller","1","undirected"
"86","Square Bizzy","Queen D","2","undirected"
"87","Mos Def","A$AP Rocky","1","undirected"
"88","Z-Ro","Mistah F.A.B.","1","undirected"
"89","The Alchemist","Havoc","11","undirected"
"90","Young Thug","DJ Drama","2","undirected"
"91","Alexio","Genio","1","undirected"
"92","DJ Luian","Jory","1","undirected"
"93","The Game","RJ","2","undirected"
"94","Shasha","Eric Bellinger","1","undirected"
"95","Tech N9ne","Wrekonize","2","undirected"
"96","Skeme","Rich Homie Quan","1","undirected"
"97","Netta B","Mistah F.A.B.","1","undirected"
"98","Tech N9ne Collabos","Krizz Kaliko","4","undirected"
"99","DJ Khaled","YG","1","undirected"
"100","Dame D.O.L.L.A","Marsha Ambrosius","1","undirected"
"101","Lil Dicky","Homie Quan","1","undirected"
"102","Txx Will","Big Scoob","1","undirected"
"103","The Game","Eric Bellinger","2","undirected"
"104","Micah","Payso","1","undirected"
"105","Ty Dolla $ign","Fetty Wap","1","undirected"
"106","Philthy Rich","Icewear Vezzo","1","undirected"
"107","Mista Cain","Doe B","1","undirected"
"108","TeeCee4800","DJ Mustard","1","undirected"
"109","Aha Gazelle","Chris Durso","1","undirected"
"110","Big Noyd","Ghostface Killah","1","undirected"
"111","Wiz Khalifa","Travis Scott","1","undirected"
"112","Trouble","YFN Lucci","1","undirected"
"113","Donnie Trumpet","Omen","1","undirected"
"114","JAY Z","Future","1","undirected"
"115","Duke","PeeWee Roscoe","1","undirected"
"116","Post Malone","Lil Uzi Vert","1","undirected"
"117","Murs","Beleaf","1","undirected"
"118","Dolly","Young Thug","1","undirected"
"119","Diddy","Gizzle","3","undirected"
"120","The WDNG Crshrs","DJ Drama","1","undirected"
"121","Raekwon","Mobb Deep","2","undirected"
"122","Kanye West","Travis Scott","1","undirected"
"123","A$AP Rocky","A$AP Nast","1","undirected"
"124","Xavier Omär","Mick Jenkins","1","undirected"
"125","Yung Lord","A$AP Rocky","1","undirected"
"126","Courtney Noelle","Wiz Khalifa","1","undirected"
"127","Big Smo","Todd Nielson","1","undirected"
"128","Strange Figures","7deucedeuce","1","undirected"
"129","Trae Tha Truth","Jay'ton","1","undirected"
"130","The Game","J3","1","undirected"
"131","Sick Jacken","Apathy","1","undirected"
"132","PeeWee Roscoe","Yak Gotti","1","undirected"
"133","Randy Nota Loca","De La Ghetto","1","undirected"
"134","Mozzy","Sauce Twinz","1","undirected"
"135","¡MAYDAY!","Krizz Kaliko","1","undirected"
"136","Nipsey Hussle","YG","1","undirected"
"137","SiR","Isaiah Rashad","1","undirected"
"138","Bas","Cozz","2","undirected"
"139","Lyquin","DJ Drama","1","undirected"
"140","Lil Dicky","T-Pain","1","undirected"
"141","Dreezy","Gucci Mane","1","undirected"
"142","Bubba Sparxxx","Demun Jones","1","undirected"
