"","source","target","weight","type","Album","onboard","eigen.degree(g)","between.betweenness(g)","close.closeness(g)","eigen.artist","eigen.eigen.V1"
"1","Tyler, The Creator","Playboi Carti","1","undirected",NA,0,14,540.791529504168,5.38560965101249e-06,"Tyler, The Creator",2.55910209113709e-05
"2","Quavo","T.I.","1","undirected",NA,0,18,687.024303434723,5.38172581183334e-06,"Quavo",6.3211669836621e-06
"3","Grandmaster Caz","Kool Moe Dee","1","undirected",NA,0,8,0,5.34982506072051e-06,"Grandmaster Caz",4.35059149561224e-08
"4","Domo Genesis","Tyler, The Creator","1","undirected","Genesis",1,22,5430.73596420176,5.38531961871937e-06,"Domo Genesis",2.54943542213096e-05
"5","DJ Mustard","Jeezy","1","undirected","Cold Summer",1,36,3698.49873863421,5.3891796051887e-06,"DJ Mustard",3.02861724966557e-05
"6","Lyquin","Skeme","1","undirected",NA,0,6,15.1650494495381,5.37643080264735e-06,"Lyquin",6.64439044669329e-06
"7","The Lacs","Bubba Sparxxx","1","undirected","Welcome To Dodge City",1,20,23,9.55604524978547e-07,"The Lacs",1.9622892737915e-17
"8","Lil Uzi Vert","Offset","1","undirected","Lil Uzi Vert Vs. The World",1,30,4014.16465854473,5.38796006444e-06,"Lil Uzi Vert",1.71387737616551e-05
"9","Lil Uzi Vert","Offset","1","undirected","The Perfect LUV Tape",1,30,4014.16465854473,5.38796006444e-06,"Lil Uzi Vert",1.71387737616551e-05
"10","Tech N9ne Collabos","Stevie Stone","4","undirected","Strangeulation II",1,34,1871.67400199077,5.34610696490815e-06,"Tech N9ne Collabos",1.30941387581052e-07
"11","Too $hort","Erk Tha Jerk","1","undirected",NA,0,14,403.005472239976,5.37767404842058e-06,"Too $hort",5.09228385250985e-06
"12","Malik","Baby Bash","1","undirected",NA,0,4,0,5.35486703865143e-06,"Malik",1.44935672850147e-08
"13","Bun B","Apathy","1","undirected",NA,0,24,25593.0169565045,5.39351052813255e-06,"Bun B",2.47276636374937e-05
"14","Devin The Dude","Rittz","1","undirected",NA,0,18,3792.46250237033,5.39167848342868e-06,"Devin The Dude",1.18438134022093e-05
"15","Randy Nota Loca","DJ Luian","2","undirected",NA,0,8,3.05,5.29327383693541e-06,"Randy Nota Loca",1.68397369269498e-09
"16","Kyla","WizKid","1","undirected",NA,0,4,0,5.36803229408228e-06,"Kyla",1.19509646889952e-06
"17","Ty Dolla $ign","Kanye West","1","undirected","Free TC",1,106,39344.5281789308,5.40301055748263e-06,"Ty Dolla $ign",0.000186070351957902
"18","Ty Dolla $ign","Kanye West","1","undirected","Campaign",1,106,39344.5281789308,5.40301055748263e-06,"Ty Dolla $ign",0.000186070351957902
"19","Lil Uzi Vert","A$AP Mob","1","undirected","Lil Uzi Vert Vs. The World",1,30,4014.16465854473,5.38796006444e-06,"Lil Uzi Vert",1.71387737616551e-05
"20","Lil Uzi Vert","A$AP Mob","1","undirected","The Perfect LUV Tape",1,30,4014.16465854473,5.38796006444e-06,"Lil Uzi Vert",1.71387737616551e-05
"21","Ariana DeBose","Ephraim Sykes","1","undirected",NA,0,10,485.880303030313,5.35366297620832e-06,"Ariana DeBose",0.0429494599490004
"22","Cam'Ron","Pete Rock","1","undirected",NA,0,8,23.9129384090422,5.37059812351302e-06,"Cam'Ron",0.000307233781746222
"23","Okieriete Onaodowan","Lin-Manuel Miranda","10","undirected",NA,0,14,0,5.30655996943421e-06,"Okieriete Onaodowan",0.614859189748694
"24","C-Murder","2Meka","1","undirected",NA,0,14,6,5.34042541828882e-06,"C-Murder",2.22263061736866e-06
"25","Grieves","Daveed Diggs","1","undirected",NA,0,14,0,5.28345749458446e-06,"Grieves",0.0120955375106071
"26","Johnny Cinco","Philthy Rich","1","undirected",NA,0,6,388.214860657771,5.3698771372111e-06,"Johnny Cinco",4.73337939466839e-08
"27","The Game","Skeme","1","undirected","The Documentary 2 + 2.5: Collector's Edition",1,120,14220.6881666876,5.38961528926065e-06,"The Game",0.000777696008469498
"28","The Game","Skeme","1","undirected","Streets Of Compton",1,120,14220.6881666876,5.38961528926065e-06,"The Game",0.000777696008469498
"29","The Game","Skeme","1","undirected","The Documentary 2",1,120,14220.6881666876,5.38961528926065e-06,"The Game",0.000777696008469498
"30","The Game","Skeme","1","undirected","The Documentary 2.5",1,120,14220.6881666876,5.38961528926065e-06,"The Game",0.000777696008469498
"31","The Game","Skeme","1","undirected","Block Wars",1,120,14220.6881666876,5.38961528926065e-06,"The Game",0.000777696008469498
"32","The Game","Skeme","1","undirected","1992",1,120,14220.6881666876,5.38961528926065e-06,"The Game",0.000777696008469498
"33","Twista","Bun B","1","undirected",NA,0,4,0,5.37025202592758e-06,"Twista",4.22623180397715e-07
"34","Suga Free","Snoop Dogg","1","undirected",NA,0,2,0,5.37475477681331e-06,"Suga Free",1.83453320605722e-06
"35","Da$H","Kendra Foster","1","undirected",NA,0,4,0,5.359861072401e-06,"Da$H",4.35686988009815e-07
"36","Riff Raff","Lil Durk","1","undirected",NA,0,16,2368.78776089204,5.38500061927507e-06,"Riff Raff",2.19209184888527e-06
"37","Gucci Mane","Peewee Longway","1","undirected","Everybody Looking",1,30,7126.61486080884,5.39729487580824e-06,"Gucci Mane",1.7815828773604e-05
"38","Pharrell Williams","Skepta","1","undirected",NA,0,12,1400.98791541996,5.3799307064925e-06,"Pharrell Williams",4.51184932384053e-06
"39","Devin The Dude","Berner","1","undirected",NA,0,18,3792.46250237033,5.39167848342868e-06,"Devin The Dude",1.18438134022093e-05
"40","Trae Tha Truth","Young Thug","1","undirected","Tha Truth Pt 2",1,34,9459.12275274532,5.39426697306103e-06,"Trae Tha Truth",2.82185122602357e-05
"41","Jadakiss","Nipsey Hussle","1","undirected","Top 5 Dead Or Alive",1,56,30139.0134715486,5.40371126889948e-06,"Jadakiss",0.000353232041279368
"42","Boosie Badazz","Young Dolph","1","undirected",NA,0,36,13978.6693418362,5.38961528926065e-06,"Boosie Badazz",7.6148988984313e-06
"43","Jadakiss","Wiz Khalifa","1","undirected","Top 5 Dead Or Alive",1,56,30139.0134715486,5.40371126889948e-06,"Jadakiss",0.000353232041279368
"44","Future","M.I.A.","1","undirected","DS2",1,78,19881.4939446829,5.39851864648341e-06,"Future",0.000144916074254117
"45","Future","M.I.A.","1","undirected","EVOL",1,78,19881.4939446829,5.39851864648341e-06,"Future",0.000144916074254117
"46","Brookfield Duece","Marsha Ambrosius","1","undirected",NA,0,6,0,5.3386862560861e-06,"Brookfield Duece",6.10595504671804e-08
"47","Lil Wayne","2 Chainz","8","undirected",NA,0,30,8332.85241145165,5.39665407447383e-06,"Lil Wayne",9.83678353278304e-05
"48","Ying Yang Twins","Pouya","1","undirected",NA,0,2,0,9.425976861112e-07,"Ying Yang Twins",0
"49","DJ Khaled","Chris Brown","1","undirected","Major Key",1,62,28586.2637974254,5.40210574081777e-06,"DJ Khaled",0.000367932604595983
"50","Xavier Omär","Noname","1","undirected",NA,0,4,0,5.27220388666871e-06,"Xavier Omär",1.22935820383751e-08
"51","The Lonely Island","Emma Stone","1","undirected","Popstar",1,18,6819,5.36101044324834e-06,"The Lonely Island",1.01063644504758e-07
"52","D.R.A.M.","Young Thug","1","undirected","Big Baby D.R.A.M.",1,10,2315.54474592316,5.38604475803194e-06,"D.R.A.M.",1.23778755503607e-06
"53","Rittz","MJG","1","undirected","Top Of The Line",1,26,7766.36808137578,5.38563865596002e-06,"Rittz",1.16859382169961e-06
"54","Anthony Ramos","Daveed Diggs","5","undirected",NA,0,24,12.6545454545455,5.3295529038069e-06,"Anthony Ramos",0.549129400997572
"55","Dream Junkies","Murs","1","undirected","Good Religion",1,12,96.6487221561009,5.33945590944283e-06,"Dream Junkies",6.4853276043818e-09
"56","Too $hort","King Lil G","1","undirected",NA,0,14,403.005472239976,5.37767404842058e-06,"Too $hort",5.09228385250985e-06
"57","OT Genesis","Jeezy","1","undirected",NA,0,4,0,5.37238700527031e-06,"OT Genesis",8.85517792277759e-07
"58","YG","Quavo","1","undirected","Still Brazy",1,68,21255.4621273264,5.39665407447383e-06,"YG",7.16710404860237e-05
"59","YG","Quavo","1","undirected","Red Friday",1,68,21255.4621273264,5.39665407447383e-06,"YG",7.16710404860237e-05
"60","The Weeknd","Future","1","undirected",NA,0,6,26.3173479352752,5.38465266297997e-06,"The Weeknd",4.02572785590577e-06
"61","Jadakiss","Smoke Dza","1","undirected","Top 5 Dead Or Alive",1,56,30139.0134715486,5.40371126889948e-06,"Jadakiss",0.000353232041279368
"62","French Montana","Meek Mill","1","undirected",NA,0,24,27294.2580781332,5.38912151930114e-06,"French Montana",2.39716112731382e-05
"63","Tech N9ne","Rittz","2","undirected",NA,0,32,22174.6315037696,5.3850296176629e-06,"Tech N9ne",6.12617151430002e-07
"64","Trae Tha Truth","Ty Dolla $ign","1","undirected","Tha Truth Pt 2",1,34,9459.12275274532,5.39426697306103e-06,"Trae Tha Truth",2.82185122602357e-05
"65","Lyquin","Chris Brown","1","undirected",NA,0,6,15.1650494495381,5.37643080264735e-06,"Lyquin",6.64439044669329e-06
"66","Redneck Souljers","J Rosevelt","1","undirected",NA,0,12,2.06060606060606,9.55607264526425e-07,"Redneck Souljers",0
"67","Original Broadway Cast of Hamilton","Ariana DeBose","1","undirected",NA,0,32,863.933333333333,5.32980855327677e-06,"Original Broadway Cast of Hamilton",0.921121614809333
"68","Ty Dolla $ign","Kevin Gates","1","undirected","Free TC",1,106,39344.5281789308,5.40301055748263e-06,"Ty Dolla $ign",0.000186070351957902
"69","Ty Dolla $ign","Kevin Gates","1","undirected","Campaign",1,106,39344.5281789308,5.40301055748263e-06,"Ty Dolla $ign",0.000186070351957902
"70","Migos","A$AP Ferg","1","undirected",NA,0,8,1013.10519454176,5.38129140231073e-06,"Migos",3.57652839392438e-06
"71","Justin Bieber","Young Thug","1","undirected",NA,0,4,56.3769661310235,5.37825249819829e-06,"Justin Bieber",1.24399060083599e-06
"72","Datin","Beleaf","1","undirected","The Roar",1,22,4201.9460795311,5.3176780890392e-06,"Datin",1.31591059939399e-10
"73","LA Gun Smoke","King Lil G","2","undirected",NA,0,8,0,5.33253700780683e-06,"LA Gun Smoke",3.22106829159453e-08
"74","Dr. Ravi Zacharias","Natalie Sims","1","undirected",NA,0,4,0,5.26127491213671e-06,"Dr. Ravi Zacharias",1.94691906972268e-11
"75","Tech N9ne","Big Scoob","1","undirected",NA,0,32,22174.6315037696,5.3850296176629e-06,"Tech N9ne",6.12617151430002e-07
"76","Joe Fox","Kanye West","1","undirected",NA,0,8,21.8598095001465,5.37900466897605e-06,"Joe Fox",8.29956464522004e-06
"77","Apollo Brown","Joell Ortiz","1","undirected","The Easy Truth",1,12,1864.91040485753,5.34705029970217e-06,"Apollo Brown",1.96930582456957e-08
"78","Ty Dolla $ign","Trey Songz","4","undirected","Free TC",1,106,39344.5281789308,5.40301055748263e-06,"Ty Dolla $ign",0.000186070351957902
"79","Ty Dolla $ign","Trey Songz","4","undirected","Campaign",1,106,39344.5281789308,5.40301055748263e-06,"Ty Dolla $ign",0.000186070351957902
"80","Jeremih","Future","1","undirected",NA,0,20,4437.14066336495,5.39595519198809e-06,"Jeremih",3.75190890195027e-05
"81","Lil Dicky","Jace","1","undirected","Professional Rapper",1,18,4299.62664653963,5.38056754226436e-06,"Lil Dicky",2.14267633237127e-06
