,score,name
0,,Hitman Beatz
0,,Don Chief
0,,Rick Rock
0,,Idaho Jdoe
0,,iDA HAWK
0,,Illuminate
0,,Isaac Lund
0,,Istevie
0,,J. Doe
0,,Nutso
0,,Noodles
0,,Tech N9ne Collabos
0,,Janice Gaines
0,,Tatiana Paulino
0,,Tamoya Bell
0,,Noni Blanco
0,,Tabrielle
0,,The Homegirl
0,,HG Free
0,,Scheme
0,,OT Genesis
0,,Dora
0,,Dria
0,,Sasha Hutchings
0,,Dustin Rhodes
0,,Dylan Cage
0,,Easy Redd
0,,Tiara
0,,Gracy
0,,Original Broadway Cast Recording
0,,Flex Mathews
0,,The WDNG Crshrs
0,,Flynt Flossy of Turquoise Jeep
0,,Okieriete Onaodowan
0,,G-Eazy x Carnage
0,,T-Gorilla
0,,Nicki Minaj
0,,JP Cali
0,,Mak Digg
0,,Life+
0,,Lil B
0,,Sheena
0,,Mouton
0,,Lundon
0,,Smiggz
0,,Mama Ferg
0,,Soundtrack
0,,marcus wells
0,,Skonie
0,,Marley Blu
0,,Marvalyss
0,,Mitch E-Slick
0,,Melanie Rutherford
0,,Leezy Lyfe
0,,Square Bizzy
0,,Syke 800
0,,Shasha
0,,Sydney James Harcourt
0,,June
0,,Sway
0,,Junior Maile
0,,Kappa Gamma
0,,NAV And Metro Boomin
0,,Stresmatic
0,,LA Gun Smoke
0,,Strange Figures
0,,Stefan Otto
0,,Kunta
0,,KXNG Crooked
0,,Lavoisier
0,,Natalie Sims
0,,Don Trip
0,,Dr. Ravi Zacharias
0,,Sione Toki
0,,Burnt Out
0,,Big Marcus
0,,Billy Danze
0,,Phillipa Soo
0,,Bruce Banna
0,,Yams
0,,Bumpy Knuckles
0,,B Real
0,,Q-Tip
0,,Camille Faulkner
0,, Pain and Demon Slayin'
0,,Candace Boyd
0,,Carlene Crawford
0,,Trev Case
0,,Cau2g$
0,,Bicho Ramirez
0,,Young Boss
0,,Chad Cain
0,,Adoni
0,, Jack Huncho
0,, Fly Later
0,,2Meka
0,,7deucedeuce
0,,Yung Lord
0,,Acyde
0,,Ali Shields
0,,Young Butta
0,,Ariana DeBose
0,,B. Rossi
0,,Young Life
0,,Young Gunner
0,,Remo the Hitmaker
0,,Ransom
0,, Music From And Inspired By
0,, m.A.A.d city
0,,Courtney Orlando
0,,Sadie Vada
0,,Danny from Sobrante
0,,Patty Crash
0,,Txx Will
0,,D-Day
0,,Cuttyboy G Dinero
0,,Tyler Lyon
0,,Cutthroat Season
0,,T Bone
0,,Crystal Johnson
