Artist,Album,onboard
NF,Therapy Session,1
Flatbush Zombies,3001: A Laced Odyssey,1
Aesop Rock,Impossible Kid,1
The Lonely Island,Popstar,1
Isaiah Rashad,The Sun's Tirade,1
Various,Straight Outta Compton Motion Picture,1
Havoc,The Silent Partner,1
Sevin,Purple Heart,1
Juicy J,TGOD Mafia Rude Awakening,1
De La Soul,and the ANONYMOUS NOBODY,1
Young Dolph,Rich Crack Baby,1
Sammy Adams,The Long Way,1
D.R.A.M.,Big Baby D.R.A.M.,1
Jeezy,Church In These Streets,1
T.I.,Us Or Else,1
Saul Williams,MartyrLoserKing,1
Kosha Dillz,What I Do All Day & Pickle,1
Blaze Ya Dead Homie,The Casket Factory,1
Wiz Khalifa,Khalifa,1
Mac Miller,AM,1
Phora,With Love,1
MO3,4 Indictments,1
Berner,Hempire,1
Meek Mill,Dreams Worth More Than Money,1
Young Thug,Slime Season 3,1
A$AP Mob,Cozy Tapes Vol. 1: Friends,1
ScHoolboy Q,Blank Face LP,1
NxWorries,Yes Lawd!,1
Kendrick Lamar,untitled unmastered.,1
Twiztid,Mutant Remixed & Remastered,1
21 Savage,Savage Mode,1
Future,DS2,1
J Dilla,The Diary,1
K Camp,Lyric Ave,1
Watsky,x Infinity,1
Jadakiss,Top 5 Dead Or Alive,1
Shy Glizzy,Young Jefe 2,1
6LACK,FREE 6LACK,1
Drake,What A Time To Be Alive,1
MadeinTYO,You Are Forgiven,1
Mac Miller,The Divine Feminine,1
Philthy Rich,Real Niggas Back In Style,1
Logic,Bobby Tarantino,1
Apollo Brown,The Easy Truth,1
Don Chief,The Return Of Chief Lucas,1
Curren$Y,Canal Street Confidential,1
DJ Mustard,Cold Summer,1
Boosie BadAzz,Thug Talk,1
Hoodie Allen,Happy Camper,1
Various,Furious 7,1
Ty Dolla $ign,Free TC,1
Da' T.R.U.T.H.,It's Complicated,1
Lecrae,Church Clothes 3,1
Yo Gotti,The Art Of Hustle,1
FUTURISTIC,As Seen On The Internet,1
Young Dolph,King Of Memphis,1
A$AP Ferg,Always Strive And Prosper,1
King Lil G,Lost In Smoke 2,1
Social Club Misfits,The Misfit Generation,1
Lil Uzi Vert,Lil Uzi Vert Vs. The World,1
Dame D.O.L.L.A.,The Letter O,1
Derek Minor,Reflection,1
A$AP Rocky,AT.LONG.LAST.A$AP,1
E-40,The D-Boy Diary Deluxe Edition,1
DJ Drama,Quality Street Music 2,1
Rae Sremmurd,SremmLife,1
Eshon Burgundy,The Passover,1
Vic Mensa,There's Alot Going On,1
Flo Rida,My House,1
Future,EVOL,1
Logic,Under Pressure,1
Arcangel,Los Favoritos,1
Tech N9ne Collabos,Strangeulation II,1
Logic,The Incredible True Story,1
NF,Mansion,1
Young Thug,I'm Up,1
Snow Tha Product,Half Way There... Pt 1,1
Lil Durk,Lil Durk 2X,1
Lex The Hex Master,Contact,1
The Game,The Documentary 2 + 2.5: Collector's Edition,1
Skepta,Konnichiwa,1
Sims,More Than Ever,1
Don Trip,The Head That Wears The Crown,1
BIzzle,Crowns & Crosses,1
Domo Genesis,Genesis,1
YG,Still Brazy,1
Apathy,Handshakes With Snakes,1
Krizz Kaliko,Go,1
The Game,Streets Of Compton,1
Common,Black America Again,1
Lil Dicky,Professional Rapper,1
Big Scoob,H.O.G.,1
G-Mo Skee,My Filthy Spirit Bomb,1
Macklemore,This Unruly Mess I've Made,1
Various Artists,Revenge Of The Dreamers II,1
Sho Baraka,The Narrative,1
Skizzy Mars,Alone Together,1
Ty Dolla $ign,Campaign,1
Mick Jenkins,The Healing Component,1
Pimp C,Long Live The Pimp,1
$uicideBoy$,Radical $Uicide,1
Boosie BadAzz,In My Feelings. ( Goin' Thru It ),1
Puff Daddy,MMM,1
Cosculluela,Blanco Perla,1
Upchurch,Chicken Willie,1
Dreezy,No Hard Feelings,1
TWENTY88,TWENTY88,1
MOBB,The MOBB,1
7deucedeuce,Heat 1,1
Travis Scott,Birds In The Trap Sing McKnight,1
Boosie BadAzz,Out My Feelings In My Past,1
Banks,Anything But Words,1
Mike Stud,These Days,1
Kevin Gates,Islah,1
Mistah FAB,Son Of A Pimp Pt 2,1
YFN Lucci,Wish Me Well 2,1
Travi$ Scott,Rodeo,1
Wiz Khalifa,Blacc Hollywood,1
Jamesthemormon,I'm Not A Rapper,1
Cardi B,Gangsta Bitch Music Vol. 1,1
Peewee Longway,Mr. Blue Benjamin,1
Clipping.,Splendor & Misery,1
CZARFACE,A Fistful Of Peril,1
Drake,Views,1
Boosie BadAzz,Bleek Mode Thug In Peace Lil Bleek,1
Snoop Dogg,Coolaid,1
Drake,If You're Reading This It's Too Late,1
Various,Creed,1
Tory Lanez,I Told You,1
Zodiac Mprint,Ride The Stars,1
Slim Thug,American King,1
Kendrick Lamar,To Pimp A Butterfly,1
Young Thug,JEFFERY,1
Trae Tha Truth,Tha Truth Pt 2,1
Dizzy Wright,Wisdom And Good Vibes,1
Joe Budden,Rage & The Machine,1
