Name,Categories,Years Active Start,Birthdate,Years Active End,Deathdate,City,Neighborhood,Coordinates
Big Pun,rapper,1992,11/10/1971,2000,2/7/2000,New York,South Bronx,"40.823268, -73.92201"
Poison Clan,group,1990,,1995,,Miami,,"25.759119, -80.232722"
Rae Sremmurd,group,2013,,,,Tupelo,Ida Street Housing Projects,"34.251084, -88.731701"
C Murder,rapper,1991,3/9/1971,,,New Orleans,Calliope Projects,"29.950324, -90.092356"
Beyoncé,singer,1997,9/4/1981,,,Houston,Third Ward,"29.735598, -95.360741"
Goodie Mob,group,1991,,,,Atlanta,,"33.745522, -84.373254"
Big Sean,rapper,2007,3/25/1988,,,Detroit,,"42.3645, -82.9975"
Tandem,group,1999,,2012,,Aubervilliers,,"48.915267, 2.387739"
Orishas,group,1999,,,,Havana,,"23.064862, -82.337521"
Brulux,rapper,,,,,Paris,,"48.884682, 2.33891"
Immortal Technique,rapper,2000,2/19/1978,,,New York,Harlem,"40.786914, -73.952751"
Wiley,producer;rapper,1996,1/19/1979,,,East London,Bow,"51.525414, -0.027722"
UGK,group,1992,,2009,,Port Arthur,,"29.8839586, -93.9479217"
Roi Heenok,producer;rapper,,,,,Montreal,Rive Sud,"45.435, -73.461111"
Kendrick Lamar,rapper,,6/17/1987,,,Los Angeles,Compton,"33.915222, -118.253387"
Kanye West,producer;rapper,,,,,Chicago,Oak Lawn,"41.698532, -87.769401"
N.W.A,group,,,,,Los Angeles,Compton,"33.89033, -118.2314667"
Shurik'n,rapper,,,,,Miramas,,"43.582222, 5.001944"
Jay Rock,rapper,2003,3/31/1985,,,Watts,Nickerson Gardens projects,"33.930751, -118.24893"
Logic,rapper,2009,1/22/1990,,,Gaithersburg,West Deer Park,"39.129334, -77.200791"
PNB Rock,rapper;singer,2014,12/9/1991,,,Philadelphia,,"39.94256, -75.169965"
Less du neuf,group,1994,,2008,,Meudon,,"48.812169, 2.237701"
Kaytranada,producer / dj,2010,8/25/1992,,,Montreal,,"45.557665, -73.655446"
Yellow Claw,group,2010,,,,Amsterdam,,"52.364643, 4.882136"
Charisma.com,group,2011,,,,Kanagawa,,"35.502375, 139.617799"
Alaclair Ensemble,group,2010,,,,Québec City,,"46.799729, -71.238712"
Jeanjass,producer / dj;rapper,,,,,Charleroi,,"50.40959, 4.443352"
Warren G,producer;rapper,1992,11/10/1970,,,Los Angeles,Long Beach,"33.800424, -118.143048"
MHD,rapper;singer,2015,11/28/1994,,,Paris,,"48.877353, 2.372835"
Mick Jenkins,rapper,2012,4/16/1991,,,Chicago,,"41.7293151, -87.6092301"
La Fouine,rapper;singer,2001,12/25/1981,,,Trappes,,"48.776816, 1.98633"
The St. Lunatics,group,1993,,,,St. Louis,,"38.60635, -90.226303"
Tech N9ne,rapper,1991,11/8/1971,,,Kansas City,,"39.010342, -94.593968"
La caution,group,1999,,,,Noisy-le-Sec,,"48.895434, 2.458637"
Beastie Boys,group,,,,,New York,,"40.741088, -73.995674"
Ledé Markson,rapper,2016,,,,Liège,,"50.641616, 5.567071"
Ixzo,rapper,,,,,Sevran,,"48.935611, 2.524423"
Necro,rapper,2000,6/7/1976,,,Brooklyn,Glenwood Houses,"40.636075, -73.919377"
Roots Manuva,producer / dj;rapper,1994,9/9/1972,,,London,Stockwell,"51.465986, -0.11643"
Busta Flex,rapper,,9/30/1977,,,Épinay-sur-Seine,Orgemont,"48.957826, 2.29537"
U-God,rapper,,,,,Brooklyn,Brownsville,"40.665087, -73.907668"
Run–D.M.C.,group,,,,,Queens,Hollis,"40.706475, -73.753115"
Three 6 Mafia,group,,,,,Memphis,,"35.117365, -89.971068"
Peewee Longway,rapper,,,,,Atlanta,,"33.75054, -84.32415"
Little Simz,rapper;singer,2010,2/23/1994,,,London,Islington,"51.55267, -0.101174"
Machine Gun Kelly,rapper,2006,4/22/1990,,,Cleveland,,"41.472464, -81.569683"
"Royce da 5'9""",rapper,1995,7/5/1977,,,Detroit,Oak Park,"42.464894, -83.180213"
Hocus Pocus,group,1995,,,,Nantes,,"47.227223, -1.541622"
Hugo TSR,rapper,2005,,,,Paris,La Chapelle,"48.891806, 2.363621"
Frank Ocean,rapper;singer,2005,10/28/1987,,,New Orleans,,"30.011073, -90.107302"
Morlockk Dilemma,producer / dj;rapper,2001,9/11/1981,,,Leipzig,Grünau,"51.319083, 12.29356"
Georgio,rapper,2007,1/21/1993,,,Paris,18th,"48.887897, 2.353752"
Main Attrakionz,group,2009,,,,Oakland,,"37.814641, -122.265217"
Black Kray,rapper,2001,,,,Richmond,,"37.53993, -77.444799"
La Smala﻿,group,2007,,,,Bruxelles,,"50.817108, 4.322222"
Ichon,rapper,2014,,,,Paris,Montreuil,"48.852981, 2.426873"
Q-Tip,producer;rapper,,4/10/1970,,,St Albans,Queens,"40.692396, -73.774743"
Big L,rapper,1990,5/30/1974,1999,2/15/1999,New York,Harlem,"40.816705, -73.939898"
Kurupt,rapper,1991,11/23/1972,,,Los Angeles,Hawthorne,"33.897352, -118.339833"
El-P,producer;rapper,1993,3/2/1975,,,Brooklyn,,"40.690284, -73.984371"
Doc Gynéco,producer;rapper;singer,,,,,Paris,Porte de la Chapelle,"48.8972825, 2.3570033"
2 Live Crew,group,1982,,1998,,Miami,,"25.76989, -80.198741"
Queen Latifah,rapper;singer,,3/18/1970,,,East Orange,,"40.765586, -74.213075"
Eminem,rapper,,10/17/1972,,,Detroit,,"42.442723, -83.000062"
Playa Fly,rapper,,,,,Memphis,,"35.1072904, -90.0433016"
Ali,rapper,,,,,Issy-les-Moulineaux,,"48.823889, 2.27"
New African Poets,group,1988,,,,Strasbourg,Neuhof,"48.541235, 7.771827"
OG Maco,rapper,2011,4/23/1992,,,Atlanta,College Park,"33.618017, -84.471013"
Blackalicious,group,1994,,,,Sacramento,,"38.504414, -121.535965"
Arianna Puello,rapper,1998,1/16/1977,,,Girona,Salt,"41.971135, 2.789179"
Jorrdee,producer / dj;rapper,2011,,,,Lyon,Mermoz,"45.731094, 4.885971"
Coyote Jo Bastard,rapper,2012,3/10/2017,,3/10/2017,Paris,17ème arrondissement,"48.884824, 2.304811"
Sam's,producer / dj;rapper,2000,11/9/1983,,,Bordeaux,,"44.82514, -0.572409"
Kalash l'Afro,rapper,1995,,,,Berre-l'Étang,,"43.503402, 5.162041"
Swagg man,rapper,2008,12/23/1988,,,Paris,,"48.871828, 2.301179"
Noir Fluo,group,2010,,2012,,Paris,,"48.843551, 2.391187"
Schoolboy Q,rapper,2009,10/26/1986,,,Los Angeles,South Central,"33.996441, -118.289418"
Grandmaster Flash,producer;rapper,,1/1/1958,,,New York,Bronx,"40.8103, -73.9074"
Fonky Family,group,1994,,2007,,Marseille,,"43.3469594, 5.3456365"
Talib Kweli,rapper,1996,10/3/1975,,,Brooklyn,Park Slope,"40.669413, -73.980175"
T-Pain,singer,2004,10/30/1985,,,Tallahassee,,"30.433084, -84.295997"
Fetty Wap,rapper,2014,6/7/1991,,,Paterson,,"40.914216, -74.158708"
Mobb Deep,group,,,,,Queens,Queensbridge,"40.754335, -73.94694"
Rob Quest,producer;rapper,1988,,,,Houston,,"29.794945, -95.416531"
Ice Cube,rapper,,,,,Los Angeles,Compton,"33.9367515, -118.3135802"
Gangsta Boo,rapper,,,,,Memphis,,"35.0616103, -89.9198745"
Lil Boosie,rapper,,,,,Baton Rouge,,"30.3745861, -91.1254726"
Lil B,producer;rapper,,,,,Berkeley,,"37.89589, -122.292421"
Lil Wayne,rapper,,,,,New Orleans,,"29.96192, -90.123563"
Seth Gueko,rapper,,,,,Saint-Ouen-l'Aumône,,"49.05, 2.1167"
Lil Durk,rapper,,,,,Chicago,,"41.7775982, -87.649594"
Fat Pat,rapper,1993,12/4/1970,1998,2/3/1998,Houston,,"29.619981, -95.342376"
Proof,rapper,1992,10/2/1973,2006,4/11/2006,Detroit,,"42.443729, -82.986971"
Vic Mensa,rapper,2009,6/6/1993,,,Chicago,Hyde Park,"41.799292, -87.592528"
The Dope Poet Society,group,1995,,,,Toronto,,"43.658573, -79.544233"
Kid Cudi,rapper;singer,2003,1/30/1984,,,Cleveland,Shaker Heights,"41.476389, -81.551667"
PNL,group,2014,,,,Corbeil-Essonnes,Cité des Tarterêts,"48.613633, 2.465612"
Riff Raff,rapper,2005,1/29/1982,,,Houston,Copperfield,"29.88028, -95.67729"
Scred Connexion,group,1995,,,,Paris,La goutte d'or,"48.887577, 2.349508"
LL Cool J,rapper,,,,,Hollis,Queens,"40.709236, -73.764675"
De La Soul,group,1987,,,,New York,Long Island,"40.670466, -73.412484"
Yelawolf,rapper,2005,12/30/1979,,,Nashville,,"36.143001, -86.786701"
