2016,2017,2018
1,1,1
Panda,Humble.,God's Plan
Desiigner,Kendrick Lamar,Drake
2,2,2
"Me, Myself & I",I'm The One,I Like It
G-Eazy x Bebe Rexha,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne","Cardi B, Bad Bunny & J Balvin"
3,3,3
Hotline Bling,Bad And Boujee,In My Feelings
Drake,Migos Featuring Lil Uzi Vert,Drake
4,4,4
Too Good,Unforgettable,Psycho
Drake Featuring Rihanna,French Montana Featuring Swae Lee,Post Malone Featuring Ty Dolla $ign
5,5,5
Broccoli,Congratulations,Nice For What
D.R.A.M. Featuring Lil Yachty,Post Malone Featuring Quavo,Drake
6,6,6
Jumpman,Mask Off,Rockstar
Drake & Future,Future,Post Malone Featuring 21 Savage
7,7,7
Don't Mind,XO TOUR Llif3,Lucid Dreams
Kent Jones,Lil Uzi Vert,Juice WRLD
8,8,8
Low Life,Bodak Yellow (Money Moves),Better Now
Future Featuring The Weeknd,Cardi B,Post Malone
9,9,9
For Free,Black Beatles,Look Alive
DJ Khaled Featuring Drake,Rae Sremmurd Featuring Gucci Mane,BlocBoy JB Featuring Drake
10,10,10
2 Phones,iSpy,Yes Indeed
Kevin Gates,KYLE Featuring Lil Yachty,Lil Baby & Drake
11,11,11
Sucker For Pain,1-800-273-8255,Sad!
"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",Logic Featuring Alessia Cara & Khalid,XXXTENTACION
12,12,12
Down In The DM,Fake Love,Taste
Yo Gotti Featuring Nicki Minaj,Drake,Tyga Featuring Offset
13,13,13
Antidote,Bounce Back,FEFE
Travis Scott,Big Sean,6ix9ine Featuring Nicki Minaj & Murda Beatz
14,14,14
Pop Style,Bad Things,MotorSport
Drake Featuring The Throne,Machine Gun Kelly x Camila Cabello,"Migos, Nicki Minaj & Cardi B"
15,15,15
679,Bank Account,Let You Down
Fetty Wap Featuring Remy Boyz,21 Savage,NF
16,16,16
All The Way Up,T-Shirt,No Limit
"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",Migos,G-Eazy Featuring A$AP Rocky & Cardi B
17,17,17
White Iverson,Rake It Up,Gucci Gang
Post Malone,Yo Gotti Featuring Nicki Minaj,Lil Pump
18,18,18
Cut It,Tunnel Vision,Sicko Mode
O.T. Genasis Featuring Young Dolph,Kodak Black,Travis Scott
19,19,19
Wicked,Rockstar,Him & I
Future,Post Malone Featuring 21 Savage,G-Eazy & Halsey
20,20,20
Tiimmy Turner,Rolex,Walk It Talk It
Desiigner,Ayo & Teo,Migos Featuring Drake
21,21,21
Really Really,DNA.,Stir Fry
Kevin Gates,Kendrick Lamar,Migos
22,22,22
Black Beatles,Juju On That Beat (TZ Anthem),Nonstop
Rae Sremmurd Featuring Gucci Mane,Zay Hilfigerrr & Zayion McCall,Drake
23,23,23
Summer Sixteen,Loyalty.,I Fall Apart
Drake,Kendrick Lamar Featuring Rihanna,Post Malone
24,24,24
I Got The Keys,Swang,Gummo
DJ Khaled Featuring Jay Z & Future,Rae Sremmurd,6ix9ine
25,25,25
Best Friend,Both,Ric Flair Drip
Young Thug,Gucci Mane Featuring Drake,Offset & Metro Boomin
26,26,26
Money Longer,Caroline,This Is America
Lil Uzi Vert,Amine,Childish Gambino
27,27,27
Uber Everywhere,Drowning,Plug Walk
MadeinTYO,A Boogie Wit da Hoodie Featuring Kodak Black,Rich The Kid
28,28,28
No Problem,Slippery,Be Careful
Chance The Rapper Featuring Lil Wayne & 2 Chainz,Migos Featuring Gucci Mane,Cardi B
29,29,29
THat Part,Magnolia,Love.
ScHoolboy Q Featuring Kanye West,Playboi Carti,Kendrick Lamar Featuring Zacari
30,30,30
Father Stretch My Hands Pt. 1,I Get The Bag,Bartier Cardi
Kanye West,Gucci Mane Featuring Migos,Cardi B Featuring 21 Savage
31,31,31
Juju On That Beat (TZ Anthem),Look At Me!,Big Bank
Zay Hilfigerrr & Zayion McCall,XXXTENTACION,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj"
32,32,32
Chill Bill,Everyday We Lit,Plain Jane
Rob $tone Featuring J. Davi$ & Spooks,YFN Lucci Featuring PnB Rock,A$AP Ferg Featuring Nicki Minaj
33,33,33
OOOUUU,Love.,I Get The Bag
Young M.A,Kendrick Lamar Featuring Zacari,Gucci Mane Featuring Migos
34,34,34
Again,Crew,Bodak Yellow (Money Moves)
Fetty Wap,GoldLink Featuring Brent Faiyaz & Shy Glizzy,Cardi B
35,35,35
Do It Like Me,Butterfly Effect,Moonlight
DLOW,Travis Scott,XXXTENTACION
36,36,36
Hit The Quan,Deja Vu,Lemon
iLoveMemphis,J. Cole,N*E*R*D & Rihanna
37,37,37
Pick Up The Phone,It's A Vibe,I'm Upset
Young Thug And Travis Scott Featuring Quavo,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",Drake
38,38,38
My PYT,Portland,King's Dead
Wale,Drake Featuring Quavo & Travis Scott,"Jay Rock, Kendrick Lamar, Future & James Blake"
39,39,39
Caroline,Gucci Gang,Drip Too Hard
Amine,Lil Pump,Lil Baby & Gunna
40,40,40
Big Rings,OOOUUU,The Way Life Goes
Drake & Future,Young M.A,Lil Uzi Vert Featuring Nicki Minaj
41,41,41
Might Not,Used To This,Outside Today
Belly Featuring The Weeknd,Future Featuring Drake,YoungBoy Never Broke Again
42,42,42
Where Ya At,The Race,I Love It
Future Featuring Drake,Tay-K,Kanye West & Lil Pump
43,43,43
Wake Up,First Day Out,Chun-Li
Fetty Wap,Tee Grizzley,Nicki Minaj
44,44,44
Childs Play,Goosebumps,River
Drake,Travis Scott,Eminem Featuring Ed Sheeran
45,45,45
WTF (Where They From),No Heart,Powerglide
Missy Elliott Featuring Pharrell Williams,21 Savage & Metro Boomin,Rae Sremmurd & Juicy J
46,46,46
1 Night,The Way Life Goes,Apes**t
Lil Yachty,Lil Uzi Vert Featuring Nicki Minaj,The Carters
47,47,47
Promise,Roll In Peace,Roll In Peace
Kid Ink Featuring Fetty Wap,Kodak Black Featuring XXXTENTACION,Kodak Black Featuring XXXTENTACION
48,48,48
"Wat U Mean (Aye, Aye, Aye)",X,Mo Bamba
Dae Dae,21 Savage & Metro Boomin Featuring Future,Sheck Wes
49,49,49
Hype,Moves,Good Old Days
Drake,Big Sean,Macklemore Featuring Kesha
50,50,50
Back Up,Chill Bill,Bank Account
DeJ Loaf Featuring Big Sean,Rob $tone Featuring J. Davi$ & Spooks,21 Savage
Rob $tone Featuring J. Davi$ & Spooks,,
