songs,,albums
1,,1
Panda,,Views
Desiigner,,Drake
2,,3
"Me, Myself & I",,Islah
G-Eazy x Bebe Rexha,,Kevin Gates
3,,4
Hotline Bling,,When It's Dark Out
Drake,,G-Eazy
4,,5
Jumpman,,untitled unmastered.
Drake & Future,,Kendrick Lamar
5,,6
679,,The Incredible True Story
Fetty Wap Featuring Remy Boyz,,Logic
6,,7
2 Phones,,Fetty Wap
Kevin Gates,,Fetty Wap
7,,8
Broccoli,,To Pimp A Butterfly
D.R.A.M. Featuring Lil Yachty,,Kendrick Lamar
8,,9
Too Good,,Church In These Streets
Drake Featuring Rihanna,,Jeezy
9,,10
Sucker For Pain,,2014 Forest Hills Drive
"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",,J. Cole
10,,11
Don't Mind,,EVOL
Kent Jones,,Future
11,,12
White Iverson,,If You're Reading This It's Too Late
Post Malone,,Drake
12,,13
Low Life,,DS2
Future Featuring The Weeknd,,Future
13,,14
For Free,,Black Market
DJ Khaled Featuring Drake,,Rick Ross
14,,15
Down In The DM,,Major Key
Yo Gotti Featuring Nicki Minaj,,DJ Khaled
15,,16
Really Really,,Top 5 Dead Or Alive
Kevin Gates,,Jadakiss
16,,17
Pop Style,,Straight Outta Compton: Music From The Motion Picture
Drake Featuring The Throne,,Soundtrack
17,,18
See You Again,,Blank Face LP
Wiz Khalifa Featuring Charlie Puth,,ScHoolboy Q
18,,19
Antidote,,The Art Of Hustle
Travis Scott,,Yo Gotti
19,,20
Summer Sixteen,,Everybody Looking
Drake,,Gucci Mane
20,,21
All The Way Up,,This Unruly Mess I've Made
"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",,Macklemore & Ryan Lewis
21,,22
Watch Me,,Trap Or Die 3
Silento,,Jeezy
22,,23
Trap Queen,,Birds In The Trap Sing McKnight
Fetty Wap,,Travis Scott
23,,24
WTF (Where They From),,What A Time To Be Alive
Missy Elliott Featuring Pharrell Williams,,Drake & Future
24,,25
Again,,ColleGrove
Fetty Wap,,2 Chainz
25,,
Messin' Around,,
Pitbull Featuring Enrique Iglesias,,
26,,
Lose Yourself,,
Eminem,,
27,,
Downtown,,
"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",,
28,,
No Role Modelz,,
J. Cole,,
29,,
Black Beatles,,
Rae Sremmurd Featuring Gucci Mane,,
30,,
Hit The Quan,,
iLoveMemphis,,
31,,
Big Rings,,
Drake & Future,,
32,,
Right Hand,,
Drake,,
33,,
Juju On That Beat (TZ Anthem),,
Zay Hilfigerrr & Zayion McCall,,
34,,
My PYT,,
Wale,,
35,,
Promise,,
Kid Ink Featuring Fetty Wap,,
36,,
Chill Bill,,
Rob $tone Featuring J. Davi$ & Spooks,,
37,,
Cut It,,
O.T. Genasis Featuring Young Dolph,,
38,,
I Mean It,,
G-Eazy Featuring Remo,,
39,,
Might Not,,
Belly Featuring The Weeknd,,
40,,
I Got The Keys,,
DJ Khaled Featuring Jay Z & Future,,
41,,
$ave Dat Money,,
Lil Dicky Featuring Fetty Wap & Rich Homie Quan,,
42,,
Jimmy Choo,,
Fetty Wap,,
43,,
Best Friend,,
Young Thug,,
44,,
Wicked,,
Future,,
45,,
Team,,
Iggy Azalea,,
46,,
Purple Lamborghini,,
Skrillex & Rick Ross,,
47,,
My Way,,
Fetty Wap Featuring Monty,,
48,,
THat Part,,
ScHoolboy Q Featuring Kanye West,,
49,,
Wake Up,,
Fetty Wap,,
50,,
Watch Out,,
2 Chainz,,
