"","album","source","target","top.x","top.y","both_top","one_top"
"1","Birds In The Trap Sing McKnight","Travis Scott","Young Thug &amp; Travis Scott",1,0,0,1
"2","DAMN.","Rihanna","U2",0,0,0,0
"3","DAMN.","Rihanna","Zacari",0,0,0,0
"4","DAMN.","U2","Zacari",0,0,0,0
"5","Stoney","2 Chainz","Justin Bieber",0,0,0,0
"6","Stoney","2 Chainz","Kehlani",0,0,0,0
"7","Stoney","Justin Bieber","Kehlani",0,0,0,0
"8","More Life","2 Chainz","Black Coffee",0,0,0,0
"9","More Life","2 Chainz","Giggs",0,0,0,0
"10","More Life","Black Coffee","Giggs",0,0,0,0
"11","Vacation In Hell","A$AP Twelvyy","Bun B",0,0,0,0
"12","Vacation In Hell","A$AP Twelvyy","Dave B",0,0,0,0
"13","Vacation In Hell","Bun B","Dave B",0,0,0,0
"14","TA13OO","Billie Eilish","GoldLink",0,0,0,0
"15","TA13OO","Billie Eilish","J.I.D",0,0,0,0
"16","TA13OO","GoldLink","J.I.D",0,0,0,0
"17","GO:OD AM","Ab-Soul","Chief Keef",0,0,0,0
"18","GO:OD AM","Ab-Soul","Lil B",0,0,0,0
"19","GO:OD AM","Chief Keef","Lil B",0,0,0,0
"20","Legends Of The Summer (EP)","Jeremih","Miguel",0,0,0,0
"21","Legends Of The Summer (EP)","Jeremih","PnB Rock",0,0,0,0
"22","Legends Of The Summer (EP)","Miguel","PnB Rock",0,0,0,0
"23","ONEPOINTFIVE","G Herbo","Gunna",0,0,0,0
"24","ONEPOINTFIVE","G Herbo","Rico Nasty",0,0,0,0
"25","ONEPOINTFIVE","Gunna","Rico Nasty",0,0,0,0
"26","Planet","Big Scoob","Darrein Safron",0,0,0,0
"27","Planet","Big Scoob","Joey Cool",0,0,0,0
"28","Planet","Darrein Safron","Joey Cool",0,0,0,0
"29","Kamikaze","Eminem","Eminem &amp; Jessie Reyez",0,0,0,0
"30","Kamikaze","Eminem","Paul Rosenberg",0,0,0,0
"31","Kamikaze","Eminem &amp; Jessie Reyez","Paul Rosenberg",0,0,0,0
