"","album","source","target"
"1","Life Is Good","Amy Winehouse","Anthony Hamilton"
"2","Life Is Good","Amy Winehouse","""Cocaine 80s"""
"3","Life Is Good","Anthony Hamilton","""Cocaine 80s"""
"4","Braille","Benjah","KB"
"5","Braille","Benjah","Serge"
"6","Braille","KB","Serge"
"7","6ix Commandments","8Ball &amp; MJG","Bizzy Bone"
"8","6ix Commandments","8Ball &amp; MJG","Crunchy Black"
"9","6ix Commandments","Bizzy Bone","Crunchy Black"
"10","Long.Live.A$AP","2 Chainz","Action Bronson"
"11","Long.Live.A$AP","2 Chainz","A$AP Ferg"
"12","Long.Live.A$AP","Action Bronson","A$AP Ferg"
"13","Strange Clouds","Chris Brown","Lauriana Mae"
"14","Strange Clouds","Chris Brown","Lil Wayne"
"15","Strange Clouds","Lauriana Mae","Lil Wayne"
"16","Declaration Of Independence","Corey Smith","Jake Owen"
"17","Declaration Of Independence","Corey Smith","Jason Aldean"
"18","Declaration Of Independence","Jake Owen","Jason Aldean"
"19","Prisoner Of Conscious","Abby Dobson","Bajah"
"20","Prisoner Of Conscious","Abby Dobson","Busta Rhymes"
"21","Prisoner Of Conscious","Bajah","Busta Rhymes"
"22","My Grandmas Basement","Big Rube","Chris Webby"
"23","My Grandmas Basement","Big Rube","Dizzy Wright"
"24","My Grandmas Basement","Chris Webby","Dizzy Wright"
"25","Knock Madness","Dizzy Wright","G-Mo Skee"
"26","Knock Madness","Dizzy Wright","Jarren Benton"
"27","Knock Madness","G-Mo Skee","Jarren Benton"
"28","Mannibalector","Bleezo","C.O.S. (US)"
"29","Mannibalector","Bleezo","G-Macc"
"30","Mannibalector","C.O.S. (US)","G-Macc"
"31","Stranger Than Fiction","Dreco","Juicy J"
"32","Stranger Than Fiction","Dreco","Migos"
"33","Stranger Than Fiction","Juicy J","Migos"
"34","We All Fall Down","Kate Rose","Liz Suwandi"
"35","We All Fall Down","Kate Rose","Tyler Lyon"
"36","We All Fall Down","Liz Suwandi","Tyler Lyon"
"37","Boss Life","Big K.R.I.T.","Big Sant"
"38","Boss Life","Big K.R.I.T.","Boston George"
"39","Boss Life","Big Sant","Boston George"
"40","Trials & Tribulations","2 Chainz","Anthony Hamilton"
"41","Trials & Tribulations","2 Chainz","Betty Wright"
"42","Trials & Tribulations","Anthony Hamilton","Betty Wright"
"43","Born Sinner","50 Cent","Amber Coffman"
"44","Born Sinner","50 Cent","Bas"
"45","Born Sinner","Amber Coffman","Bas"
"46","2 Birds 1 Stone","Brotha Lynch Hung","Darrein"
"47","2 Birds 1 Stone","Brotha Lynch Hung","Jarren Benton"
"48","2 Birds 1 Stone","Darrein","Jarren Benton"
"49","Pink Friday: Roman Reloaded","David Guetta","Nicki Minaj"
"50","Lamp City","Jeff Replay","Skizzy Mars"
"51","Lamp City","Jeff Replay","Stizzy"
"52","Lamp City","Skizzy Mars","Stizzy"
"53","Jesus Piece","2 Chainz","Big Sean"
"54","Jesus Piece","2 Chainz","Chris Brown"
"55","Jesus Piece","Big Sean","Chris Brown"
"56","The Nacirema Dream","Dada Stone","DJ Premier"
"57","The Nacirema Dream","Dada Stone","Erykah Badu"
"58","The Nacirema Dream","DJ Premier","Erykah Badu"
"59","Talented 10th","Ali","Chantae Cann"
"60","Talented 10th","Ali","Christon Gray"
"61","Talented 10th","Chantae Cann","Christon Gray"
"62","Trap House 3","2 Chainz","Chief Keef"
"63","Trap House 3","2 Chainz","PeeWee Longway"
"64","Trap House 3","Chief Keef","PeeWee Longway"
"65","Float","Bullpen","Jadakiss"
"66","Float","Bullpen","N.O.R.E."
"67","Float","Jadakiss","N.O.R.E."
"68","My Name Is My Name","2 Chainz","Ab-Liva"
"69","My Name Is My Name","2 Chainz","Big Sean"
"70","My Name Is My Name","Ab-Liva","Big Sean"
"71","Magna Carta... Holy Grail","Beyoncé","Frank Ocean"
"72","Magna Carta... Holy Grail","Beyoncé","Justin Timberlake"
"73","Magna Carta... Holy Grail","Frank Ocean","Justin Timberlake"
"74","Suffering From Success","DJ Khaled","Mavado"
"75","Suffering From Success","DJ Khaled","Vado"
"76","Suffering From Success","Mavado","Vado"
"77","Palatial","Andre Legacy","Andy Milonakis"
"78","Palatial","Andre Legacy","B.A.R.S. Murre"
"79","Palatial","Andy Milonakis","B.A.R.S. Murre"
"80","Nothing Was The Same","2 Chainz","Big Sean"
"81","Nothing Was The Same","2 Chainz","Detail"
"82","Nothing Was The Same","Big Sean","Detail"
"83","Excuse My French","2 Chainz","Ace Hood"
"84","Excuse My French","2 Chainz","Birdman"
"85","Excuse My French","Ace Hood","Birdman"
"86","Minorville","Canton Jones","Courtney Orlando"
"87","Minorville","Canton Jones","Dee-1"
"88","Minorville","Courtney Orlando","Dee-1"
"89","Event 2","Aaron Bruno","Amber Tamblyn"
"90","Event 2","Aaron Bruno","Black Rob"
"91","Event 2","Amber Tamblyn","Black Rob"
"92","High Times","Blu June","Doe B"
"93","High Times","Blu June","Forgeeauto"
"94","High Times","Doe B","Forgeeauto"
"95","Us Against Them","Jeremy Thurber","Tab"
"96","De Lider A Leyenda","Daddy Yankee","Don Omar"
"97","De Lider A Leyenda","Daddy Yankee","Gadiel"
"98","De Lider A Leyenda","Don Omar","Gadiel"
"99","Hall Of Fame","2 Chainz","Common"
"100","Hall Of Fame","2 Chainz","Earlly Mac"
"101","Hall Of Fame","Common","Earlly Mac"
