"","album","source","target","top.x","top.y","both_top","one_top"
"1","The Waiting Room","Dimitri McDowell","India Shawn",0,0,0,0
"2","The Waiting Room","Dimitri McDowell","Taylor Hill",0,0,0,0
"3","The Waiting Room","India Shawn","Taylor Hill",0,0,0,0
"4","Birds In The Trap Sing McKnight","Travis Scott","Young Thug &amp; Travis Scott",1,0,0,1
"5","Birds In The Trap Sing McKnight","Travis Scott","Young Thug &amp; Travis Scott",1,0,0,1
"6","DAMN.","Rihanna","U2",0,0,0,0
"7","DAMN.","Rihanna","Zacari",0,0,0,0
"8","DAMN.","U2","Zacari",0,0,0,0
"9","Stoney","2 Chainz","Justin Bieber",0,0,0,0
"10","Stoney","2 Chainz","Kehlani",0,0,0,0
"11","Stoney","Justin Bieber","Kehlani",0,0,0,0
"12","BEAUTIFUL THUGGER GIRLS","Future","Gunna",1,0,0,1
"13","BEAUTIFUL THUGGER GIRLS","Future","Jacquees",1,0,0,1
"14","BEAUTIFUL THUGGER GIRLS","Gunna","Jacquees",0,0,0,0
"15","White Friday (CM9)","2 Chainz","Atia ""INK"" Boggs",0,0,0,0
"16","White Friday (CM9)","2 Chainz","Big Sean",0,1,0,1
"17","White Friday (CM9)","2 Chainz","Big Sean",0,1,0,1
"18","White Friday (CM9)","Atia ""INK"" Boggs","Big Sean",0,1,0,1
"19","White Friday (CM9)","Atia ""INK"" Boggs","Big Sean",0,1,0,1
"20","More Life","2 Chainz","Black Coffee",0,0,0,0
"21","More Life","2 Chainz","Giggs",0,0,0,0
"22","More Life","Black Coffee","Giggs",0,0,0,0
"23","Major Key","2 Chainz","August Alsina",0,0,0,0
"24","Major Key","2 Chainz","Betty Wright",0,0,0,0
"25","Major Key","August Alsina","Betty Wright",0,0,0,0
"26","The Misadventures Of Fern & Marty","Aha Gazelle","Andy Mineo",0,0,0,0
"27","The Misadventures Of Fern & Marty","Aha Gazelle","Chris Batson",0,0,0,0
"28","The Misadventures Of Fern & Marty","Andy Mineo","Chris Batson",0,0,0,0
