"","x"
"1","!llmind"
"2","\u200bdvsn"
"3","2 Chainz"
"4","21 Savage"
"5","24hrs"
"6","Adrian Younge"
"7","Aha Gazelle"
"8","Ali Shaheed Muhammad"
"9","Anderson .Paak"
"10","Andreas Moss"
"11","Anthony Flammia"
"12","Ariana Grande"
"13","Astronote"
"14","August Alsina"
"15","Bankroll Fresh"
"16","BANKS"
"17","Bebe Rexha"
"18","Betty Wright"
"19","Big Sean"
"20","Bilal"
"21","BJ the Chicago Kid"
"22","BoBo Swae"
"23","CeeLo Green"
"24","Ces Cru"
"25","Chance the Rapper"
"26","Chief Keef"
"27","Chris Batson"
"28","Chris Brown"
"29","CuBeatz"
"30","Damon Albarn"
"31","Darrein Safron"
"32","Desiigner"
"33","Detail"
"34","DIA"
"35","Dimitri McDowell"
"36","DJ Don Cannon"
"37","Don Q"
"38","Drake"
"39","Erykah Badu"
"40","French Montana"
"41","Future"
"42","Genius"
"43","Gucci Mane"
"44","India Shawn"
"45","J. Cole"
"46","Jamie Foxx"
"47","Jhené Aiko"
"48","JL of B. Hood"
"49","Juicy J"
"50","Justin Bieber"
"51","Kanye West"
"52","Kehlani"
"53","Kendrick Lamar"
"54","Kyla"
"55","Lil Wayne"
"56","Lil Yachty"
"57","Lyle Leduff"
"58","Marty"
"59","Nicki Minaj"
"60","Offset"
"61","PARTYNEXTDOOR"
"62","Phonix Beats"
"63","Playboi Carti"
"64","Screen Genius"
"65","T-Pain"
"66","Taylor Hill"
"67","Travis Scott"
"68","Trey Songz"
"69","Ty Dolla $ign"
"70","Young Thug"
"71","Young Thug &amp; Travis Scott"
