"","album","source","target","top.x","top.y","both_top","one_top"
"1","The Waiting Room","Dimitri McDowell","India Shawn",0,0,0,0
"2","The Waiting Room","Dimitri McDowell","Taylor Hill",0,0,0,0
"3","The Waiting Room","India Shawn","Taylor Hill",0,0,0,0
"4","Birds In The Trap Sing McKnight","Travis Scott","Young Thug &amp; Travis Scott",1,0,0,1
"5","Stoney","2 Chainz","Justin Bieber",0,0,0,0
"6","Stoney","2 Chainz","Kehlani",0,0,0,0
"7","Stoney","Justin Bieber","Kehlani",0,0,0,0
"8","Major Key","2 Chainz","August Alsina",0,0,0,0
"9","Major Key","2 Chainz","Betty Wright",0,0,0,0
"10","Major Key","August Alsina","Betty Wright",0,0,0,0
"11","Rich Crack Baby","21 Savage","2 Chainz",0,0,0,0
"12","Black America Again","Bilal","BJ the Chicago Kid",0,0,0,0
"13","Go","Ces Cru","JL of B. Hood",0,0,0,0
"14","Rodeo","2 Chainz","Chief Keef",0,0,0,0
"15","Rodeo","2 Chainz","Future",0,1,0,1
"16","Rodeo","Chief Keef","Future",0,1,0,1
"17","Therapy Session","Andreas Moss","Marty",0,0,0,0
"18","Trap Or Die 3","Bankroll Fresh","Chris Brown",0,0,0,0
"19","Trap Or Die 3","Bankroll Fresh","French Montana",0,0,0,0
"20","Trap Or Die 3","Chris Brown","French Montana",0,0,0,0
"21","To Pimp A Butterfly","Genius","Kendrick Lamar",0,0,0,0
"22","To Pimp A Butterfly","Genius","Screen Genius",0,0,0,0
"23","To Pimp A Butterfly","Kendrick Lamar","Screen Genius",0,0,0,0
"24","untitled unmastered.","Adrian Younge","Ali Shaheed Muhammad",0,0,0,0
"25","untitled unmastered.","Adrian Younge","Astronote",0,0,0,0
"26","untitled unmastered.","Ali Shaheed Muhammad","Astronote",0,0,0,0
"27","No Hard Feelings","Gucci Mane","T-Pain",0,0,0,0
"28","TWENTY88","Big Sean","Detail",0,0,0,0
"29","TWENTY88","Big Sean","Jhené Aiko",0,0,0,0
"30","TWENTY88","Detail","Jhené Aiko",0,0,0,0
